,0
0,-9.44712348752
1,-1.47800546035
2,7.87801416007
3,0.254120420953
4,-0.653291042974
5,8.69913890178
6,8.00220575371
7,2.38017177135
8,-3.96996371988
9,17.5002962273
10,13.3016389016
11,2.25874893029
12,9.06278602465
13,10.0026770732
14,-4.16821607405
15,-6.77637461121
16,-1.78586537224
17,-4.90607318592
18,4.90870057409
19,8.87738857605
20,5.0380458651
21,4.67542346733
22,2.90586335133
23,-3.27441601757
24,1.87108405386
25,-6.30421181853
26,-3.62611418592
27,-0.497723741267
28,-4.08295734753
29,-19.5058318771
30,-10.8570293933
31,-18.6547549902
32,-15.4762451492
33,-6.28319916461
34,3.41866568598
35,0.614926035033
36,-3.6889413831
37,-3.86178613624
38,1.08702743173
39,-7.32538907302
40,8.417267864
41,0.0588787428002
42,-7.71095248819
43,3.10447090801
44,18.2589572735
45,15.7112803593
46,9.83012864767
47,-0.347464751702
48,-14.8355034335
49,1.44740850329
50,-4.67882113949
51,-5.1428592329
52,-12.3568928093
53,-1.89595684274
54,-9.0268262856
55,-14.473045347
56,-8.30023198412
57,-4.47149535311
58,3.23924656127
59,1.68158522346
60,-2.52245282354
61,-10.3673499099
62,-4.4132539495
63,-4.56582865523
64,-9.47899463527
65,-13.2767744816
66,-15.9061279287
67,-16.4587159274
68,-1.40192702589
69,5.51132647069
70,-1.00832595092
71,-4.98628238326
72,-5.72742767646
73,-13.5206748284
74,-9.37320497042
75,3.01594103507
76,5.05934136183
77,-8.95903358703
78,-8.48148657554
79,-15.510056232
80,-10.6351615267
81,-18.9750352676
82,-15.4100494956
83,-14.2588583546
84,-5.89589746471
85,-3.52904485723
86,-12.8561267768
87,10.9186571887
88,-2.02641696604
89,12.5479388013
90,-2.55041160785
91,12.1943662231
92,6.20162891808
93,-8.33924519798
94,-2.89235565762
95,23.6816400804
96,12.2993118781
97,23.7772187902
98,19.9504449892
99,15.283138822
100,7.13576675259
101,11.8957040666
102,9.53903177767
103,11.9295704625
104,6.67851432763
105,15.6367110436
106,2.44781407829
107,14.3758039948
108,3.10829156737
109,11.7019569007
110,0.569883922206
111,13.6507601787
112,-2.92322879593
113,-3.22810779912
114,-6.83612286955
115,-17.1262071018
116,5.45341946078
117,10.1119410648
118,-1.76106162476
119,-16.9685628069
120,-16.9934239111
121,-8.57078957254
122,-2.5408935186
123,0.238401837837
124,-10.393627492
125,-2.17493850879
126,-8.66649071888
127,-7.94184786304
128,-7.07646326276
129,-4.36830676896
130,6.76366840601
131,8.69363118019
132,-7.72169882491
133,0.755766716377
134,8.69789529326
135,9.20365046484
136,6.67667494892
137,-8.49788450467
138,5.78486848435
139,-2.58133115088
140,-8.54082046468
141,-4.6722209733
142,-1.46544409829
143,2.68042074617
144,-7.37202323807
145,-4.67898729111
146,12.3361111988
147,0.487444205508
148,4.01964648307
149,15.4676838108
150,6.3612088849
151,-2.94480401691
152,0.414406318235
153,-2.76187791189
154,-15.5393400544
155,3.67706469748
156,-0.67565482584
157,-2.86624767869
158,-8.91773417445
159,-1.23402281539
160,0.0067889136462
161,2.99647662542
162,-5.64440400298
163,1.40912382872
164,-4.64675231423
165,-1.68764131328
166,-1.89902453192
167,-1.13542541205
168,5.79470249356
169,-3.2306378188
